,LOCATIONS,STATE,Temperature_Min,Temperature_Max,Temperature_Mean,pH_Min,pH_Max,pH_Mean,Conductivity_Min,Conductivity_Max,Conductivity_Mean,BOD_Min,BOD_Max,BOD_Mean,Nitrate_Min,Nitatre_Max,Nitrate_Mean,Fecal_coliform_Min,Fecal_coliform_Max,Fecal_coliform_Mean,Total_coliform_Min,Total_coliform_Max,Total_coliform_Mean
0,WELL NEAR J.B SCHOOL,Lakshadweep,27.7,32.8,30.1,6.7,7.9,7.3,816,1248,951,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,4000.0,4000.0,100000.0,22333.0
1,WELL NEAR OTTAVATHIL PALLI,Lakshadweep,27.5,32.6,29.9,6.8,7.6,7.2,1178,2240,1727,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,1333.0,1000.0,25000.0,8909.0
2,WELL NEAR CHEKKILLAM HOUSE,Lakshadweep,27.4,32.5,29.7,6.5,7.6,7.2,590,1004,777,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,114000.0,25857.0,10000.0,128000.0,37250.0
3,WELL C/O KADAT PALLI,Lakshadweep,27.0,32.5,29.7,6.9,658.0,61.5,458,1264,702,0.0,0.0,0.0,0.0,0.0,0.0,227.0,3000.0,1557.0,9000.0,74000.0,24250.0
4,WELL NEAR BADER PALLI,Lakshadweep,27.8,31.6,29.7,6.7,8.1,7.4,585,694,660,0.0,0.0,0.0,0.0,0.0,0.0,465.0,14000.0,4116.0,300.0,294000.0,55192.0
5,WELL C/O PUTHIYA PALLI,Lakshadweep,27.0,31.6,30.0,6.5,7.6,7.3,629,971,768,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,18000.0,5952.0,900.0,392500.0,67533.0
6,WELL C/O PURATHA PALLI,Lakshadweep,27.4,31.6,29.7,6.6,7.6,7.1,603,963,810,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,2000.0,162000.0,32000.0
7,WELL C/O ANDAM PALLI,Lakshadweep,27.8,31.5,30.1,6.5,7.4,7.0,823,1041,937,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1578.0,1289.0,1000.0,117000.0,26864.0
8,WELL C/O CIRCUIT HOUSE,Lakshadweep,28.3,30.7,29.8,6.6,7.5,7.2,695,3660,2012,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,11000.0,9000.0,4000.0,420000.0,145773.0
9,WELL C/O GOVT. PRESS,Lakshadweep,27.8,30.7,29.3,6.8,7.6,7.3,1313,1970,1645,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,12000.0,4000.0,4000.0,68000.0,25250.0
10,WELL C/O OLD POLICE BARRACKS,Lakshadweep,28.5,30.9,29.5,6.9,7.4,7.2,1513,4830,2842,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,26000.0,8500.0,4000.0,183000.0,60333.0
11,WELL NEAR HALIPAD,Lakshadweep,28.6,30.8,29.6,7.0,7.6,7.3,1019,1800,1254,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,10000.0,6500.0,4000.0,1120000.0,241873.0
12,PUBLIC WELL OPPOSITE S.B.SCHOOL,Lakshadweep,28.0,31.5,29.9,6.6,8.0,7.3,638,1165,902,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5000.0,3000.0,11300.0,240000.0,77692.0
13,"JAGATPUR INDUSTRIAL AREA, CUTTACK",Odisha,28.0,28.0,28.0,7.1,7.2,7.2,515,842,679,0.4,0.4,0.4,1.2,5.8,3.5,4.0,4.0,4.0,23.0,23.0,23.0
14,"MADHUPATNA- KALYAN NAGAR AREA, CUTTACK",Odisha,27.0,28.0,27.5,7.0,7.4,7.2,222,498,360,0.1,1.0,0.6,0.3,6.9,3.6,28.0,28.0,28.0,240.0,240.0,240.0
15,"BIDANASHI - TULASIPUR AREA, CUTTACK",Odisha,26.0,27.0,26.5,7.2,7.6,7.4,163,173,168,0.1,0.2,0.2,0.2,0.7,0.5,0.0,0.0,0.0,2.0,2.0,2.0
16,"BADAMBARI AREA, CUTTACK",Odisha,28.0,28.0,28.0,6.9,7.4,7.2,661,804,733,0.3,1.4,0.9,0.4,0.8,0.6,0.0,0.0,0.0,2.0,2.0,2.0
